17:19:23 | TagsProcessor        | WARNING  | Примеры тегов, попавших в 'other': ['производственное_предприятие', 'объект_строительства', 'автостоянка_не_отделенная_от_проезжей_части', 'ледовая_переправа', 'объект_здание_сооружение_религиозного_культа', 'зоны_отдыха', 'автостоянка_отделенная_от_проезжей_части', 'иной_объект', 'кладбище', 'ледовая_переправа_официально_открытая_и_оборудованная']
17:19:23 | TagsProcessor        | INFO     | <<< [КОНЕЦ] Обработка объектов окружения (nearby). Время: 0.27 сек.
17:19:23 | SpatialProcessor     | INFO     | >>> [НАЧАЛО] Обработка географических признаков...
17:19:23 | SpatialProcessor     | INFO     |    [i] Координаты обработаны.
17:19:23 | SpatialProcessor     | INFO     |    [i] Регионы (дочерный и родительский) обработаны.
17:19:23 | SpatialProcessor     | INFO     |    [i] Схемы обработаны (fillna + split).
17:19:23 | SpatialProcessor     | INFO     | <<< [КОНЕЦ] Обработка географических признаков. Время: 0.13 сек.
17:19:23 | CategoryProcessor    | INFO     | >>> [НАЧАЛО] Обработка категории дтп...
17:19:23 | CategoryProcessor    | INFO     |    [i] Топ-3 категории: {'столкновение': 4909, 'наезд_на_пешехода': 3588, 'съезд_с_дороги': 1239}
17:19:23 | CategoryProcessor    | INFO     | <<< [КОНЕЦ] Обработка категории дтп. Время: 0.06 сек.
17:19:23 | ConditionsProcessor  | INFO     | >>> [НАЧАЛО] Обработка списков погоды и дорожных условий...
17:19:23 | ConditionsProcessor  | INFO     |    [i] Погода обработана.
17:19:23 | ConditionsProcessor  | WARNING  | Колонка 'road_conditions': 2 неизвестных тегов → 'road_other'. Примеры: [неудовлетворительное_состояние_разделительной_полосы, отсутствие_направляющих_устройств_и_световозвращающих_элементов_на_них]. Затронуто 12 строк (0.10%).
17:19:23 | ConditionsProcessor  | INFO     |    [i] Дорожные условия обработаны.
17:19:23 | ConditionsProcessor  | INFO     | <<< [КОНЕЦ] Обработка списков погоды и дорожных условий. Время: 0.29 сек.
17:19:23 | VehicleProcessor     | INFO     | >>> [НАЧАЛО] Обработка автомобилей (Счетчики, Возраст, Взаимодействие)...
17:19:24 | VehicleProcessor     | INFO     | <<< [КОНЕЦ] Обработка автомобилей (Счетчики, Возраст, Взаимодействие). Время: 0.74 сек.
17:19:24 | ParticipantProcessor | INFO     | >>> [НАЧАЛО] Обработка участников (Режим нарушений: post_event)...
17:19:25 | ParticipantProcessor | INFO     | <<< [КОНЕЦ] Обработка участников (Режим нарушений: post_event). Время: 0.91 сек.
17:19:25 | TargetProcessor      | INFO     | >>> [НАЧАЛО] Кодирование целевой переменной severity...
17:19:25 | TargetProcessor      | INFO     |    [i] Баланс классов: {0: 7507, 1: 4057, 2: 970}
17:19:25 | TargetProcessor      | INFO     | <<< [КОНЕЦ] Кодирование целевой переменной severity. Время: 0.05 сек.
17:19:25 | DtpPipeline          | INFO     | ================================================================================
17:19:25 | DtpPipeline          | INFO     | ===== ЗАПУСК ОБРАБОТКИ ФАЙЛА: astrakhanskaia-oblast.geojson.zip =====
17:19:25 | DtpPipeline          | INFO     | ================================================================================
17:19:25 | JsonDataLoader       | INFO     | Загрузка: data/need_process\astrakhanskaia-oblast.geojson.zip
17:19:25 | JsonDataLoader       | INFO     | Чтение из архива: astrakhanskaia-oblast.geojson
17:19:26 | JsonDataLoader       | INFO     | Формат: GeoJSON.
17:19:26 | JsonDataLoader       | INFO     | Загружено строк: 11961. Колонок: 24
17:19:26 | CleaningProcessor    | INFO     | --- Запуск очистки данных ---
17:19:26 | CleaningProcessor    | INFO     | Удален технический мусор: ['id', 'coordinates', 'address']
17:19:26 | CleaningProcessor    | INFO     | Удалены поля с утечкой данных (Leakage): ['dead_count', 'injured_count', 'participants_count']
17:19:26 | TemporalProcessor    | INFO     | >>> [НАЧАЛО] Обработка времени и освещения...
17:19:26 | TemporalProcessor    | INFO     |    [i] Циклы времени созданы.
17:19:26 | TemporalProcessor    | INFO     |    [i] Свет обработан.
17:19:26 | TemporalProcessor    | INFO     |    [-] Колонка 'datetime' удалена.
17:19:26 | TemporalProcessor    | INFO     | <<< [КОНЕЦ] Обработка времени и освещения. Время: 0.09 сек.
17:19:26 | TagsProcessor        | INFO     | >>> [НАЧАЛО] Обработка объектов окружения (nearby)...
